timestamp,x,y,scale
2023-08-01 20:33:23,125,106,4
2023-08-01 20:33:23,125,107,4
2023-08-01 20:33:23,125,108,4
2023-08-01 20:33:23,125,109,4
2023-08-01 20:33:23,125,111,4
2023-08-01 20:33:23,125,112,4
2023-08-01 20:33:23,125,114,4
2023-08-01 20:33:23,125,115,4
2023-08-01 20:33:23,125,117,4
2023-08-01 20:33:23,125,118,4
2023-08-01 20:33:23,125,121,4
2023-08-01 20:33:23,125,124,4
2023-08-01 20:33:23,125,126,4
2023-08-01 20:33:23,125,130,4
2023-08-01 20:33:23,125,132,4
2023-08-01 20:33:23,125,135,4
2023-08-01 20:33:23,125,137,4
2023-08-01 20:33:23,125,140,4
2023-08-01 20:33:23,125,143,4
2023-08-01 20:33:23,125,146,4
2023-08-01 20:33:23,125,148,4
2023-08-01 20:33:23,126,150,4
2023-08-01 20:33:23,127,153,4
2023-08-01 20:33:23,127,156,4
2023-08-01 20:33:23,127,159,4
2023-08-01 20:33:23,127,161,4
2023-08-01 20:33:23,127,163,4
2023-08-01 20:33:23,127,165,4
2023-08-01 20:33:23,127,167,4
2023-08-01 20:33:23,127,169,4
2023-08-01 20:33:23,127,171,4
2023-08-01 20:33:23,128,173,4
2023-08-01 20:33:23,128,174,4
2023-08-01 20:33:23,128,175,4
2023-08-01 20:33:23,128,177,4
2023-08-01 20:33:23,128,178,4
2023-08-01 20:33:23,128,179,4
2023-08-01 20:33:23,128,181,4
2023-08-01 20:33:23,128,182,4
2023-08-01 20:33:23,128,183,4
2023-08-01 20:33:23,128,184,4
2023-08-01 20:33:23,128,186,4
2023-08-01 20:33:23,128,188,4
2023-08-01 20:33:23,128,189,4
2023-08-01 20:33:23,128,191,4
2023-08-01 20:33:23,128,192,4
2023-08-01 20:33:23,128,195,4
2023-08-01 20:33:23,128,196,4
2023-08-01 20:33:23,128,197,4
2023-08-01 20:33:23,128,199,4
2023-08-01 20:33:23,128,201,4
2023-08-01 20:33:23,128,203,4
2023-08-01 20:33:23,128,204,4
2023-08-01 20:33:23,128,206,4
2023-08-01 20:33:23,128,208,4
2023-08-01 20:33:23,128,210,4
2023-08-01 20:33:23,128,212,4
2023-08-01 20:33:23,128,214,4
2023-08-01 20:33:23,128,216,4
2023-08-01 20:33:23,128,218,4
2023-08-01 20:33:23,128,222,4
2023-08-01 20:33:23,128,226,4
2023-08-01 20:33:23,128,230,4
2023-08-01 20:33:23,128,233,4
2023-08-01 20:33:23,128,235,4
2023-08-01 20:33:23,128,238,4
2023-08-01 20:33:23,128,241,4
2023-08-01 20:33:23,128,244,4
2023-08-01 20:33:23,128,247,4
2023-08-01 20:33:23,128,250,3
2023-08-01 20:33:23,128,253,3
2023-08-01 20:33:23,128,256,3
2023-08-01 20:33:23,128,262,3
2023-08-01 20:33:23,128,266,3
2023-08-01 20:33:23,128,270,3
2023-08-01 20:33:23,128,274,3
2023-08-01 20:33:23,128,277,3
2023-08-01 20:33:23,128,280,3
2023-08-01 20:33:23,128,283,3
2023-08-01 20:33:23,128,285,3
2023-08-01 20:33:23,128,288,3
2023-08-01 20:33:23,128,291,3
2023-08-01 20:33:23,128,292,3
2023-08-01 20:33:23,128,294,3
2023-08-01 20:33:23,128,296,3
2023-08-01 20:33:23,128,297,3
2023-08-01 20:33:23,128,299,3
2023-08-01 20:33:23,128,300,3
2023-08-01 20:33:23,128,301,3
2023-08-01 20:33:23,128,302,3
2023-08-01 20:33:23,128,305,3
2023-08-01 20:33:23,128,306,3
2023-08-01 20:33:23,128,308,3
2023-08-01 20:33:23,128,310,3
2023-08-01 20:33:23,128,311,3
2023-08-01 20:33:24,128,313,3
2023-08-01 20:33:24,128,315,3
2023-08-01 20:33:24,128,317,3
2023-08-01 20:33:24,128,319,3
2023-08-01 20:33:24,128,320,3
2023-08-01 20:33:24,128,322,3
2023-08-01 20:33:24,128,323,3
2023-08-01 20:33:24,128,325,3
2023-08-01 20:33:24,128,326,3
2023-08-01 20:33:24,128,328,3
2023-08-01 20:33:24,128,329,3
2023-08-01 20:33:24,128,331,3
2023-08-01 20:33:24,128,333,3
2023-08-01 20:33:24,128,335,3
2023-08-01 20:33:24,128,336,3
2023-08-01 20:33:24,128,339,3
2023-08-01 20:33:24,128,340,3
2023-08-01 20:33:24,128,341,3
2023-08-01 20:33:24,128,342,3
2023-08-01 20:33:24,128,345,3
2023-08-01 20:33:24,128,347,3
2023-08-01 20:33:24,128,348,3
2023-08-01 20:33:24,128,349,3
2023-08-01 20:33:24,128,350,3
2023-08-01 20:33:24,128,353,3
2023-08-01 20:33:24,128,356,3
2023-08-01 20:33:24,127,358,3
2023-08-01 20:33:24,127,359,3
2023-08-01 20:33:24,127,360,3
2023-08-01 20:33:24,127,363,3
2023-08-01 20:33:24,127,364,3
2023-08-01 20:33:24,127,365,3
2023-08-01 20:33:24,127,366,3
2023-08-01 20:33:24,127,368,3
2023-08-01 20:33:24,127,371,3
2023-08-01 20:33:24,127,373,3
2023-08-01 20:33:24,127,375,3
2023-08-01 20:33:24,127,376,3
2023-08-01 20:33:24,127,378,3
2023-08-01 20:33:24,127,380,3
2023-08-01 20:33:24,126,381,3
2023-08-01 20:33:24,126,382,3
2023-08-01 20:33:24,126,384,3
2023-08-01 20:33:24,126,386,3
2023-08-01 20:33:24,126,387,3
2023-08-01 20:33:24,126,389,3
2023-08-01 20:33:24,126,390,3
2023-08-01 20:33:24,126,391,3
2023-08-01 20:33:24,126,392,3
2023-08-01 20:33:24,126,393,3
2023-08-01 20:33:24,126,394,3
2023-08-01 20:33:24,125,396,3
